Review #,Brand,Variety,Style,Country,Stars,Top Ten
500,Mexi-Ramen,Soupless Ramen Shallot Teriyaki,Pack,USA,2.5,
499,Dragonfly,Artificial Beef,Bowl,China,4.75,
498,Hsin Tung Yang,Tiny Noodle With Oyster Flavor,Pack,Taiwan,0,
497,Nissin,Demae Iccho Seafood & Abalone Macaroni,Pack,Japan,4,
496,Maruchan,Yakisoba Shrimp,Tray,USA,2.75,
495,Ottogi,Jin Ramen (Mild),Pack,South Korea,3.25,
494,Snapdragon,Tomato Seafood Rice Noodle,Cup,Singapore,3.5,
493,Pulmuone,Fresh Ramen Spicy,Pack,South Korea,3,
492,Noah Foods,Phoya Rice Noodles Beef,Bowl,Vietnam,2.75,
491,JML,Artificial Stew Beef,Pack,China,3.75,
490,Foodmon,DJ DOC Instant rice Ramen Topokki,Bowl,South Korea,5,
489,JML,Stew Pork,Pack,China,3.25,
488,Kailo,Big Bowl Crab ,Bowl,Hong Kong,3.5,
487,Kailo,Big Bowl Artificial Chicken,Bowl,Hong Kong,2.75,
486,Kamfen,Japanese U-Don Lobster Scallop,Pack,China,3,
485,Ottogi,Hot & Spicy Ramen,Cup,South Korea,3,
484,Ottogi,Bekse Curry Myon,Cup,South Korea,4.25,
483,Itomen,Yellow Buckwheat,Bowl,Japan,4.5,
482,Menraku,Shio,Bowl,Japan,4.5,
481,Thai Kitchen,Roasted Garlic Rice Noodle,Bowl,USA,3.75,
480,Thai Kitchen,Mushroom Rice Noodle,Bowl,USA,3.25,
479,Nongshim,Potato Noodle Soup,Pack,South Korea,3.75,
478,Vedan,Mushroom & Artificial Cuttlefish,Pack,Taiwan,1.75,
477,Mr. Udon,Malaysian Beef Udon,Pack,South Korea,3,
476,Annie Chun's,Teriyaki Noodle,Bowl,USA,1.75,
475,Gefen,Vegetable,Pack,USA,3.25,
474,Saigon Ve Wong,Kung Fu Rice Noodle Shrimp Crab ,Bowl,Vietnam,3.75,
473,Myojo,Ramen-Desse Miso Soybean Paste,Bowl,Japan,4.5,
472,Thai Kitchen,Spring Onion Rice Noodle,Bowl,USA,3.75,
471,Koyo,Lemongrass ginger,Pack,USA,1.5,
470,Maruchan,Ramen Noodle Soup Chicken Mushroom,Pack,USA,3.25,
469,Gefen,Chicken,Pack,USA,3.5,
468,Paldo,Snack Noodle slightly Hot,Pack,South Korea,3.75,
467,Vifon,Tu Quy Sour Spicy Shrimp,Pack,Vietnam,1.75,
466,Saigon Ve Wong,Kung Fu Rice Noodle Artificial Beef,Bowl,Vietnam,3.5,
465,Nissin,Souper Meal Picante Shrimp Hot Spicy,Bowl,USA,2.75,
464,Mama,Vegetable,Pack,Thailand,3.25,
463,Ottogi,Ppushu Ppushu Barbecue,Pack,South Korea,3,
462,Nissin,Top Ramen Shrimp,Pack,USA,3.5,
461,Samyang,Sutah Hot Spicy Beef,Pack,South Korea,3.5,
460,Menraku,Tempura Udon,Bowl,Japan,5,
459,Gefen,Imitation Chicken Vegetarian,Pack,USA,3,
458,Ve Wong,Kung Fu Artificial Beef Rice Noodle,Bowl,Taiwan,3.75,
457,Ibumie,Harmee Mee goreng Prawn,Pack,Malaysia,4.5,
456,Ve Wong,Kung Fu Artificial Szechuan Pork,Bowl,Taiwan,3.75,
455,Baijia,Single Noble Pickled Radish & Duck,Cup,China,0.25,
454,Koyo,Asian Vegetable,Pack,USA,1.5,
453,Nongshim,Bowl Noodle Savory Chicken,Bowl,USA,3.25,
452,Myojo,Hyoubanya No Chukasoba Soy Sauce,Pack,Japan,4,
451,Myojo,Ippeichan Soybean Paste,Bowl,Japan,4,
450,Ottogi,Ppushu Ppushu Tteobokki,Pack,South Korea,3.25,
449,Wu Mu,Beef Flavor Ramen,Pack,Taiwan,4.25,
448,Ve Wong,Kung Fu Artificial Sesame Chicken,Bowl,Taiwan,3.75,
447,Ve Wong,Little Prince Bacon,Pack,Vietnam,4.75,
446,Sao Tao,Noodle King Hong Koing Style Wonton,Bowl,Hong Kong,2.25,
445,iNoodle,Taiwan Style Chow Mein,Pack,Taiwan,2.25,
444,Mr. Udon,Chicken,Pack,South Korea,3.25,
443,Lucky Me!,N-Rich Chicken Tinola,Pack,Philippines,4,
442,Nongshim,Kalguksoo,Pack,South Korea,4.5,
441,Ottogi,Spice Seafood,Pack,South Korea,3.75,
440,Maruchan,Instant Lunch Hot spicy Beef,Cup,USA,2.75,
439,Little Cook,Tom Yum Seafood Creamy,Bowl,Thailand,3,
438,Samyang,Beef,Bowl,South Korea,3.75,
437,Nongshim,Big Bowl Spicy Kimchi,Bowl,South Korea,3.25,
436,Unif,Artificial Beef With Sauerkraut,Bowl,Taiwan,3.75,
435,Mi Sedaap,Mie Sambal Goreng,Pack,Indonesia,4.25,
434,Mi Sedaap,Kari Spesial,Pack,Indonesia,4.5,2012 #5
433,Lucky Me!,Supreme Bulalo,Bowl,Philippines,3.25,
432,Ve Wong,Instant Bean Thread Seafood,Bowl,Taiwan,2.5,
431,Unif / Tung-I,Chinese Onion Rice Noodle,Pack,Taiwan,2.75,
430,Quickchow,Pancit Canton toyo Mansi,Pack,Philippines,5,
429,Quickchow,Chicken Mami,Pack,Philippines,3.75,
428,Kamfen,E Menm Chicken,,China,3.75,
427,Koka,Mi Hai Cua Crab Flavor,Pack,Singapore,5,
426,Vifon,Tu quy Chicken,Pack,Vietnam,3,
425,Chikara,Shrimp Udon,Pack,USA,4.5,
424,Q,Noodle With Sesame Sauce,Pack,Taiwan,3.25,
423,Noodle Time,Shin Cup,Cup,South Korea,3,
422,Vifon,Mi Lau Thai Thai Stle,Bowl,Vietnam,4,
421,Myojo,Kakesoba Desse Soy Sauce,Bowl,Japan,2.75,
420,Sapporo Ichiban,Beef Flavorc,Cup,USA,3.5,
419,Myojo,Ramen Desse Shio,Bowl,Japan,4.25,
418,iNoodle,Udon Noodle Soup Oriental,Pack,Taiwan,3.75,
417,Vifon,Tu Quy Spicy Beef,Pack,Vietnam,3.5,
416,Sapporo Ichiban,Chicken Flavor,Cup,USA,3.75,
415,Ve Wong,Artificial Classic Beef,Bowl,Taiwan,3.75,
414,Doll,Artificial Beef Flavor,Pack,Hong Kong,2.5,
413,Souper,Alimentary Paste Chow Mein,Pack,Taiwan,4.25,
412,Maruchan,Midori No Tanuki,Bowl,Japan,4.125,
411,Sunlee,Crab Vermicelli,Bowl,Thailand,3.25,
410,Lucky Me!,Instant Bulalo Bone Marrow,Pack,Philippines,3.75,
409,Payless,Instant Mami Chicken,Pack,Philippines,4,
408,Gomex,3 Mien Mi Tom Chua Cay Hot sour Shrimp,Pack,Vietnam,2.25,
407,Ottogi,Snack Ramyon,Cup,South Korea,3.5,
406,Vifon,Asian Style Instant Noodles Beef,Pack,Vietnam,3.75,
405,Ibumie,Harmee Prawn,Pack,Malaysia,3.25,
404,Vina Acecook,Hao Hao Sate Onion,Pack,Vietnam,3.75,
403,Maruchan,Instant Lunch Lime Flavor with Shrimp,Cup,USA,2.25,
402,Sao Tao,Noodle King Scallop Thick,Bowl,Hong Kong,3,
401,Myojo,Suudon Desse Soy Sauce,Bowl,Japan,4.25,
400,Nissin,Cup Noodles Seafood Curry,Cup,Hong Kong,4.25,
399,Paldo,Spicy Seafood,Cup,South Korea,3.75,
398,Paldo,Bowl Noodle Beef With Vegetables,Bowl,South Korea,3.75,
397,Quickchow,Quickie Mami La Paz Batchoy,Cup,Philippines,3,
396,Vina Acecook,Bestcook Hot spicy Tom Yum Shrimp,Bowl,Vietnam,4.25,
395,Ottogi,Jin Ramen (Mild),Cup,South Korea,3,
394,Paldo,Hwa Cup Hot Spicy,Cup,South Korea,3.5,
393,Kamfen,Dried Mix Noodles XO Sauce,Tray,China,2,
392,Nissin,Yakisoba Noodles Karashi,Tray,Japan,5,2012 #3
391,Myojo,Hyoubanya No Chukasoba Oriental,Pack,Japan,4.25,2012 #6
390,Menraku,Curry Soba,Bowl,Japan,4,
389,Mama,Vegetarian Tom Yum,Pack,Thailand,2.75,
388,Maruchan,Instant Lunch Cheddar Cheese,Cup,USA,2.75,
387,Nissin,Bowl Noodles Rich & Savory Beef,Bowl,USA,3.75,
386,US Canning,Fu Chang Chinese Noodle Company Pork Seafood,Tray,USA,0,
385,Ve Wong,Hot Of Hots Artificial Black Peppered Beef,Bowl,Taiwan,1.25,
384,Nissin,Demae Iccho Tom Yam Goong Macaroni,Pack,Japan,4,
383,Lucky Me!,Chicken Na Chicken,Pack,Philippines,2.75,
382,Lucky Me!,N-Rich Artificial Chicken With Ginger,Pack,Philippines,2.5,
381,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,Vietnam,4.25,
380,Rhee Bros Assi,Pho Vietnamese Noodle Soup,Tray,South Korea,3.75,
379,Nissin,Chow Mein Thai Peanut,Tray,USA,2.5,
378,Ve Wong,Hot Of Hots Artificial Satay Beef,Bowl,Taiwan,3.75,
377,Sau Tao,Ho Fan Abalone Chicken,Bowl,Hong Kong,4,
376,Sau Tao,Noodle King Lobster Thick,Bowl,Hong Kong,2.75,
375,Vifon,Pho Bo Beef Rice Noodle,Pack,Vietnam,0.5,
374,Vifon,Asian Style Instant Noodles Shrimp,Pack,Vietnam,3.75,
373,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.75,
372,Noodle Time,Spicy Thai,Bowl,Canada,0.5,
371,Nissin,Chow Noodles Alfredo,Tray,USA,3.75,
370,Fuku,Superior Soup,Pack,Hong Kong,5,
369,Bon Go Jang,Tofu Udon Dosirak,Tray,South Korea,3.75,
368,Knorr,Chili Pork,Cup,Thailand,3.5,
367,Saigon Ve Wong,Kung Fu Artificial Chicken,Pack,Vietnam,3.25,
366,Payless,Pancit Shanghai,Pack,Philippines,2.75,
365,Nissin,Cup Noodles Prawn,Cup,Singapore,3.25,
364,Sao Tao,Noodle King Beef Hong Kong Style,Bowl,Hong Kong,2.5,
363,Nissin,Demae Iccho Tonkotsu Macaroni,Pack,Japan,3.5,
362,Vina Acecook,Daily Hot & Sour With Shrimp,Pack,Vietnam,4.5,
361,Tayho,Vermicelli With Pork,Bowl,USA,1.25,
360,Nissin,Cup Noodles Hearty Chicken,Cup,USA,2.5,
359,Nissin,Bowl Noodles Hot & Spicy Beef,Bowl,USA,3.75,
358,Doll,Spicy Artificial Pork,Pack,Hong Kong,3.75,
357,Payless,Xtra Big Kalamansi Pancit Canton,Pack,Philippines,4,
356,Maruchan,Ramen Noodle Soup Roast Beef,Pack,USA,2.75,
355,Nongshim,Noodle Lite 275 Udon Mushroom,Bowl,South Korea,2.5,
354,Maruchan,Instant Lunch Chicken 35% Less Sodium,Cup,USA,3,
353,Nissin,Top Ramen Chili,Pack,USA,3.25,
352,Maruchan,Ramen Noodle Soup Chili,Pack,USA,2.75,
351,Nissin,Top Ramen Picante Beef,Pack,USA,3,
350,Nissin,Souper Meal Tomato Garlic Shrimp,Bowl,USA,3.5,
349,Ottogi,Ramen Bokki,Bowl,South Korea,3.25,
348,Paldo,Bowl Noodle Kimchi,Bowl,South Korea,3.5,
347,Sunny Maid,Mi Chay Vegetarian,Pack,Taiwan,1.75,
346,Paldo,Bowl Noodle Spicy Artificial Chicken,Bowl,South Korea,3.125,
345,Myojo,Charumera Shoyu,Pack,Japan,3.5,
344,Paldo,Stirfried Kimchi,Pack,South Korea,3.75,
343,Super Bihun,Goreng Rice Noodles,Pack,Indonesia,4.5,
342,Nongshim,Shin Big Bowl,Bowl,South Korea,3.5,
341,Vina Acecook,Daily Vegetarian,Pack,Vietnam,3.75,
340,Shirakiku,Japanese Style Tokusen Shoyu,Pack,Japan,4,
339,Payless,Xtra Big Chilimansi Pancit Canton,Pack,Philippines,4.5,
338,Nissin,Big Cup Noodles Chicken,Cup,USA,2.25,
337,Maruchan,Ramen Noodle Soup Creamy Chicken,Pack,USA,5,
336,Six Fortune,Instant Noodles With Soup,Pack,South Korea,3.5,
335,Goku Uma,Hot & Spicy Beef,Bowl,Japan,3.5,
334,Nissin,Big Cup Noodles Beef,Cup,USA,2.125,
333,Nissin,Big Cup Noodles Shrimp,Cup,USA,2.25,
332,Nongshim,Champong Oriental Noodles,Cup,South Korea,3.75,"
"
331,Sunlee,Crab Noodle,Bowl,Thailand,4.5,
330,Vifon,Phu Gia Instant Bean Thread Chicken,Pack,Vietnam,3.25,
329,Mee Jang,Artificial Beef Flavor,Bowl,Thailand,3.5,
328,Nongshim,Big Bowl Udon,Bowl,South Korea,4.5,
327,Gomex,3 Mien Mi Tom Hum Lobster,Pack,Vietnam,3.5,
326,Little Cook,TVP Curry Chicken,Bowl,Thailand,4,
325,Mee Jang,Artificial Pork,Bowl,Thailand,3.5,
324,Nongshim,Big Bowl Spicy Shrimp,Bowl,South Korea,3.5,
323,Ottogi,Jin Ramen (Hot),Cup,South Korea,3.5,
322,Unif,Shrimp Fish,Bowl,Taiwan,3.75,
321,Little Cook,TVP Spicy Beef,Bowl,Thailand,4.75,
320,Maruchan,Ramen Noodle Soup Spicy Picante Chicken,Pack,USA,4,
319,Maruchan,Ramen Noodle Soup Oriental,Pack,USA,3.75,
318,Unif,Super Bowl Artificial Pickled Chilli Beef,Bowl,Taiwan,3.25,
317,Maruchan,Yakisoba Cheddar Cheese,Tray,USA,4,
316,Unif,Super Bowl Artificial Stewed Pork Chop,Bowl,Taiwan,3.5,
315,Unif,Super Bowl Artificial Spicy Beef,Bowl,Taiwan,2.75,
314,Paldo,Dosirac Mushroom,Tray,South Korea,2.5,
313,Paldo,Dosirac Shrimp,Tray,South Korea,4.25,
312,Lucky Me!,Supreme Bulalo Artificial Bone Marrow,Bowl,Philippines,1.75,
311,Vifon,Tasty Mushroom,Pack,Vietnam,2,
310,Lucky Me!,La Paz Batchoy Beef,Pack,Philippines,2.5,
309,Paldo,Dosirac Beef,Tray,South Korea,3.75,
308,Tradition,Imitation Chicken Vegetarian,Pack,USA,3.75,
307,Royal Umbrella,Vegetarian Tom Yum,Cup,Thailand,2.75,
306,Rhee Bros Assi,Rice Noodle Anchovy Flavor,Tray,South Korea,3.75,
305,Lucky Me!,Supreme Special Beef Carne De Vaca,Bowl,Philippines,3.75,
304,Mama,Pho Bo Rice Noodle Artificial Beef,Bowl,Thailand,3.5,
303,Paldo,Dosirac Artificial Chicken,Tray,South Korea,3.25,
302,Samyang,Bowl Noodle Picante Beef,Bowl,South Korea,3.75,
301,Dragonfly,Guilin Style Rice Vermicelli,Bowl,China,4.5,
300,Wu Mu,Steam Spinach Ramen With Onion,Pack,Taiwan,5,
299,Lucky Me!,Supreme Sotanghon Artificial Chicken Vermicelli ,Bowl,Philippines,3.75,
298,Nongshim,Hearty Rice Noodle Spicy Veggie Consomme,Pack,South Korea,2.75,
297,Rhee Bros Assi,Rice Noodle Hot & Spicy Kimchi,Tray,South Korea,3.25,
296,Nissin,Cup Noodles Crab,Cup,Hong Kong,3.25,
295,Tablemark,Soybean Paste,Bowl,Japan,4.5,
294,Paldo,South Korean Seafood,Pack,South Korea,3.75,
293,Tiger,Onion Flaver Rice Noodle,Bowl,Taiwan,0,
292,Paldo,South Korean U Dong,Pack,South Korea,3.75,
291,Nongshim,Shin Bowl,Bowl,South Korea,3,
290,Doll,Spicy Artificial Beef,Pack,Hong Kong,3,
289,Paldo,South Korean Broad Noodle,Pack,South Korea,2,
288,Saigon Ve Wong,Kung Fu Artificial Beef Rice Noodle,Pack,South Korea,3.25,
287,Paldo,King Cup Lobster,Cup,South Korea,3.75,
286,Myojo,Hyoubanya No Yakisoba Oriental,Tray,Japan,4,
285,Doll,Artificial Chicken,Pack,Hong Kong,4.5,2012 #9
284,Nissin,Cup Noodles Seafood,Cup,Hong Kong,4.5,
283,Paldo,King Cup Kimchi Pot Stew,Cup,South Korea,4,
282,Doll,Pickled Vegetable,Pack,Hong Kong,4.25,
281,Mama,Oriental Kitchen Hot Spicy,Cup,Thailand,3,
280,Rhee Bros Assi,Rice Noodle Katsuo,Tray,South Korea,4,
279,Rhee Bros Assi,Rice Noodles Seafood,Tray,South Korea,3.75,
278,Fortune,Udon Mushroom,Pack,USA,3,
277,Vina Acecook,Oh! Ricey Beef Rice Noodles,Pack,Vietnam,4,
276,Wai Wai,Chili Paste Tom Yum,Pack,Thailand,3.25,
275,Mama,Cup Shrimp Tom Yum Flavor,Cup,Thailand,3.75,
274,Ve Wong,Kung Fu Artificial Soybean Paste,Pack,Taiwan,4,
273,Wai Wai,Minced Pork Tom Yum,Pack,Thailand,2.5,
272,Vina Acecook,Mi Lau Thai Artificial Chicken,Pack,Vietnam,3.5,
271,Paldo,South Korean Noodle Kimchi Flavor,Pack,South Korea,3.5,
270,Wu Mu,Dried Noodle With BBQ Pork,Pack,Taiwan,2,
269,Paldo,Spicy Shrimp Bowl,Bowl,South Korea,3.5,
268,Nissin,Cup Noodles Spicy Chile Chicken,Cup,USA,3.5,
267,Mama,Pork,Cup,Thailand,2,
266,Vina Acecook,Mi Lau Thai Shrimp,Pack,Vietnam,4,
265,Nissin,Cup Noodles Chicken,Cup,USA,3.5,
264,Vina Acecook,Hao Hao Sour Hot Shrimp,Pack,Vietnam,3.75,
263,Nissin,Chow Mein Kung Pao Chicken,Tray,USA,1.5,
262,Vina Acecook,Daily Beef Ball,Pack,Vietnam,3.75,
261,Vina Acecook,Oh! Ricey Chicken,Pack,Vietnam,3.75,
260,Nissin,Bowl Noodles Hot & Spicy Shrimp,Bowl,USA,3.5,
259,Vina Acecook,Mi Lau Thai Seafood,Pack,Vietnam,4,
258,Royal Umbrella,Tom Yum Shrimp,Cup,Thailand,3.25,
257,Nissin,Cup Noodles Beef,Cup,USA,3.5,
